2026-03-06 14:14:36 | run_collect_anfragen | SYSTEM | Collect-Anfragen gestartet
2026-03-06 14:14:36 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: Re: Tickets YE Steinbockalm am 08.03.2026
2026-03-06 14:14:36 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: Re: Tickets YE Steinbockalm am 08.03.2026
2026-03-06 14:14:36 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: Leads
2026-03-06 14:14:36 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: WG: New form submission on Webflow for www-enko-at
2026-03-06 14:14:36 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: AW: Anfrage Agrar-PV 
2026-03-06 14:14:36 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: FW: New form submission on Webflow for www-enko-at
2026-03-06 14:14:36 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: Re: Angebot PV Alexander Gürtler
2026-03-06 14:14:36 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: WG: MachbarMacher │ Neue Anfrage für Vermittlungsprojekt (Nr. AT009426L00057)
2026-03-06 14:14:36 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: WG: Auftragsbestätigung und weitere Schritte
2026-03-06 14:14:36 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: Auftragsbestätigung und weitere Schritte
2026-03-06 14:14:36 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: Schlussrechnung
2026-03-06 14:14:36 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: WG: Angebot aktualisiert zu den besprochenen Vereinbarungen
2026-03-06 14:14:36 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: AW: Angebot aktualisiert zu den besprochenen Vereinbarungen
2026-03-06 14:14:36 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: Re: Angebot Photovoltaikanlage Familie Süss
2026-03-06 14:14:36 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: Re: Angebot PV Alexander Gürtler
2026-03-06 14:14:36 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: Re: Angebot PV Alexander Gürtler
2026-03-06 14:14:36 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: Re: Ihr Photovoltaik-Projekt – weitere Vorgehensweise und benötigte Unterlagen
2026-03-06 14:14:37 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: Re: Angebot PV Alexander Gürtler
2026-03-06 14:14:37 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: Kontaktdaten Alexander 
2026-03-06 14:14:37 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: Angebot PV- Anlage!
2026-03-06 14:14:37 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: Schlussrechnung
2026-03-06 14:14:37 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: Re: Ihr Photovoltaik-Projekt - Auftragsbestätigung, Anzahlungsrechnung & weitere Schritte
2026-03-06 14:14:37 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: Schlussrechnung
2026-03-06 14:14:37 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: Kur war die Zeit - nun ein Abschied
2026-03-06 14:14:37 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: WG: Zzusammenfassung meiner Telefonate mit Hr. Hartmayer und Herrn Pal
2026-03-06 14:14:37 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: Ihr Photovoltaik-Projekt – weitere Vorgehensweise und benötigte Unterlagen
2026-03-06 14:14:37 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: Re: Angebot Photovoltaikanlage Familie Ofner
2026-03-06 14:14:37 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: Eppenschwandter - Kommt noch Material?
2026-03-06 14:14:37 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: Re: Angebot Photovoltaikanlage Huber Peter
2026-03-06 14:14:37 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: Hallöo Marcel,
2026-03-06 14:14:37 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: Re: Angebot Photovoltaikanlage Huber Peter
2026-03-06 14:14:37 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: AW: Kontaktkaufnahme ENKO PV
2026-03-06 14:14:37 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: Änderung für Angebot!
2026-03-06 14:14:37 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: AW: Kontaktkaufnahme ENKO PV
2026-03-06 14:14:37 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: Re: ENKO Kontaktaufnahme PV
2026-03-06 14:14:37 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: E1 Einspeisegebühren
